Category,SubCategory,Expert,LCM,Interviews,Workshops
Interface,Interface,15,14,2,14
Interface,Between,5,3,2,3
Interface,Surrounded,0,6,1,5
Interface,Proximity,13,36,14,26
Interface,Part of,3,24,15,10
Interface,Adminstrative,4,3,4,2
Dyanmic//Complex,Dyanmic//Complex,3,2,1,2
Dyanmic//Complex,Physical,1,4,4,1
Biodiversity,Biodiversity,4,7,0,7
Biodiversity,Corals,2,1,3,0
Biodiversity,Seaweed,0,1,0,1
Biodiversity,Seagrass,1,1,0,1
Biodiversity,Coastal plants/Coconut Palms,0,6,0,6
Biodiversity,Other rganisma/Animals,2,3,0,3
Ecosystems,Ecosystems,10,7,3,7
Ecosystems,Marine Env.,4,5,0,5
Ecosystems,Ocean/Sea,40,84,42,56
Ecosystems,Shores/Beach,14,33,19,19
Ecosystems,Estuaries/River Mouths,2,5,3,3
Ecosystems,Land,33,34,10,34
Ecosystems,Mangroves,5,19,14,8
Ecosystems,Coastal Forests,1,1,1,1
People/Community,People/Community,14,15,12,12
People/Community,Politics,1,1,2,0
People/Community,Culture/Norms,1,5,3,3
Livelihoods,Livelihoods,2,5,2,5
Livelihoods,Tourism,0,17,7,10
Livelihoods,Fisheries,1,18,7,11
Livelihoods,Agriculture,0,4,3,1
Livelihoods,Aquaculture,0,2,1,1
Livelihoods,Trade,0,1,1,0
Livelihoods,Mar. Transport,0,7,1,6
Livelihoods,Infrastructures,1,1,1,1
human-nature,human-nature,2,2,0,2
human-nature,Care/Protection,1,2,1,2
human-nature,Unique/Beautiful,0,2,0,2
human-nature,Use Accessability,2,0,2,0
human-nature,Pollution,0,1,1,0
